Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name,Showing?
Data & AI,Fleet Utilization,2018,Distant,https://wootransport.com,Provider of a SaaS-based plugin for transportation booking management,Unfunded,,Asia & the Pacific,India,WooTransport,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://airfreightbazaar.com,Online platform for air cargo tariff,Unfunded,,Asia & the Pacific,India,Air Freight Bazaar,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://bidsnship.com,Online marketplace for freight forwarding,Unfunded,,Asia & the Pacific,India,BidsnShip,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://boxnbiz.com,Online freight forwarder,Funded,,Asia & the Pacific,India,Boxnbiz,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://camelport.com,Online booking platform for multimodal container shipping,Unfunded,,Asia & the Pacific,India,CamelPort,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://cargopick.com,Marketplace for freight forwarders firms,Unfunded,,Asia & the Pacific,India,Cargopick,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://comparelogistic.in,Marketplace for logistic service providers,Unfunded,,Asia & the Pacific,India,Compare Logistic,Yes
Data & AI,Freight Orchestration,2018,Distant,https://cytrucksindia.com,Web-based solutions for freight forwarding services,Unfunded,,Asia & the Pacific,India,Cytrucks,Yes
Data & AI,Freight Orchestration,2017,Emerging,https://exportify.in,Online marketplace for export logistics,Unfunded,,Asia & the Pacific,India,Exportify,Yes
Data & AI,Freight Orchestration,2018,Distant,https://exportoo.com,Online platform for end-to-end freight transportation services,Unfunded,,Asia & the Pacific,India,Exportoo,Yes
Data & AI,Freight Orchestration,2013,Emerging,https://expressrates.in,Online platform for air freight rates,Unfunded,,Asia & the Pacific,India,ExpressRates,Yes
Data & AI,Freight Orchestration,2010,Emerging,https://fishfreight.com,Marketplace for ocean freight booking,Unfunded,,Asia & the Pacific,India,FishFreight,Yes
Data & AI,Freight Orchestration,2019,Distant,https://foggtransport.club,Online marketplace for freight forwarding,Unfunded,,Asia & the Pacific,India,Fogg Transport,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://fratedigital.com,Online marketplace platform for marine LCL loads,Unfunded,,Asia & the Pacific,India,FrateDigital,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://freightclue.com,Tech-enabled freight forwader,Unfunded,,Asia & the Pacific,India,FreightClue,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://freightcrate.in,Online marketplace for import export shipments,Unfunded,,Asia & the Pacific,India,Freightcrate,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://frexal.com,Online marketplace for freight shipping,Unfunded,,Asia & the Pacific,India,Frexal,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://fullyport.com,Tech-enabled freight forwarder,Unfunded,,Asia & the Pacific,India,FullyPort,Yes
Data & AI,Freight Orchestration,2014,Emerging,https://globalfreightindex.com,Online directory of logistics service providers,Unfunded,,Asia & the Pacific,India,Global Freight Index,Yes
Data & AI,Freight Orchestration,2019,Distant,https://impofreight.com,Tech-enabled freight forwarder,Unfunded,,Asia & the Pacific,India,Impofreight,Yes
Data & AI,Freight Orchestration,2018,Distant,https://infreighto.com,Online marketplace for freight forwarders,Unfunded,,Asia & the Pacific,India,Infreighto,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://logargo.com,Online booking platform for ocean freight transport,Unfunded,,Asia & the Pacific,India,LogarGo,Yes
Data & AI,Freight Orchestration,2019,Distant,https://mylogiswot.com,Online platform connecting importers and exporters,Unfunded,,Asia & the Pacific,India,LogiSWOT,Yes
Data & AI,Freight Orchestration,2017,Emerging,https://numaxcloud.com,Freight quotation platform,Unfunded,,Asia & the Pacific,India,Numax,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://planyourcargo.com,Online aggregator and booking platform for freight transport,Unfunded,,Asia & the Pacific,India,Planyourcargo,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://portexcel.com,Shipping management solution,Unfunded,,Asia & the Pacific,India,PORTEXCEL,Yes
Data & AI,Freight Orchestration,2019,Distant,https://r2dfreight.com,Online platform to book air freight transportation,Unfunded,,Asia & the Pacific,India,R2Dfreight,Yes
Data & AI,Freight Orchestration,2018,Distant,https://scinntc.com,Provider of tech-enabled logistics services,Unfunded,,Asia & the Pacific,India,SCINNTC,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://shippingexchange.com,Online sea freight marketplace,Unfunded,,Asia & the Pacific,India,Shipping Exchange,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://shipwaves.com,Ocean freight forwarding aggregator,Unfunded,,Asia & the Pacific,India,ShipWaves,Yes
Data & AI,Freight Orchestration,2018,Distant,https://terminal2online.com,Provider of a cloud-based collaboration and market platform for freight forwarding services,Unfunded,,Asia & the Pacific,India,Terminal2,Yes
Data & AI,Freight Orchestration,2017,Emerging,https://terrago.asia,Provider of AI-enabled freight forwarding services,Unfunded,,Asia & the Pacific,India,Terrago,Yes
Data & AI,Freight Orchestration,2013,Emerging,https://thecargosite.com,Tech-enabled freight forwarder,Unfunded,,Asia & the Pacific,India,TheCargosite,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://vamaship.com,Logistics platform connecting suppliers with customers,Seed,,Asia & the Pacific,India,Vamaship,Yes
Data & AI,Freight Orchestration,2018,Distant,https://wayload.co,Online platform for freight forwarding services,Unfunded,,Asia & the Pacific,India,Wayload,Yes
Data & AI,Port Orchestration,2010,Emerging,https://esquire.co.in,Maritime and shipping software solutions,Unfunded,,Asia & the Pacific,India,Esquire,Yes
Data & AI,Port Orchestration,2007,Emerging,https://infyz.com,Cloud-based port and terminal management software solutions,Funded,,Asia & the Pacific,India,Infyz Solutions,Yes
Data & AI,Port Orchestration,2010,Emerging,https://logstarerp.com,Terminal operations software systems,Unfunded,,Asia & the Pacific,India,Logstar,Yes
Data & AI,Port Orchestration,2016,Emerging,https://smartport.in,SaaS platofrm for port management,Unfunded,,Asia & the Pacific,India,Smartport,Yes
Data & AI,Trade Digitization and Analytics,2013,Emerging,https://acelrtech.com,Enterprise sales and analytics applications.,Funded,,Asia & the Pacific,India,ACELR,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://algoshelf.com,Cloud-based end-to-end backend management solutions for retailers,Unfunded,,Asia & the Pacific,India,Algoshelf,Yes
Data & AI,Trade Digitization and Analytics,2018,Emerging,https://bigyellowfish.io,Provides ERP solutions for the maritime industry,Funded,,Asia & the Pacific,India,Bigyellowfish,Yes
Data & AI,Trade Digitization and Analytics,2020,Distant,https://blogixo.com,Developer of cloud and AI-based warehouse management systems,Unfunded,,Asia & the Pacific,India,bLogixo,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://cassini-systems.com,Cloud-based operations and business project management solution,Unfunded,,Asia & the Pacific,India,Cassini,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://ctrlt.in,Provider of end-to-end logistic management solutions,Unfunded,,Asia & the Pacific,India,CtrlT,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://datafaktory.com,Supply chain operations analytics,Unfunded,,Asia & the Pacific,India,Data Faktory,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://delogex.com,Software solutions for delivery management,Unfunded,,Asia & the Pacific,India,Delogex,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://dhisigma.com,Salesforce automation and delivery management solutions,Unfunded,,Asia & the Pacific,India,DhiSigma,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://digiretail.in,Supply Chain Management,Unfunded,,Asia & the Pacific,India,Digiretail,Yes
Data & AI,Trade Digitization and Analytics,2018,Emerging,https://ekport.com,Provider of an AI-based platform for cross-border trading,Funded,,Asia & the Pacific,India,Ekport,Yes
Data & AI,Trade Digitization and Analytics,2019,Emerging,https://eshipz.com,Provider of cloud-based shipping solutions for e-tailers,Seed,,Asia & the Pacific,India,eShipz,Yes
Data & AI,Trade Digitization and Analytics,2012,Emerging,https://eshopbox.com,"Cloud-based software solutions for logistics, order & inventory management",Funded,,Asia & the Pacific,India,eShopbox,Yes
Data & AI,Trade Digitization and Analytics,2013,Emerging,https://esspl.com,IT solution provider for supply chain management and logistics,Unfunded,,Asia & the Pacific,India,ESSPL,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://evahan.in,Provider of tech-enabled delivery services to e-commerce companies,Unfunded,,Asia & the Pacific,India,Evahan,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://fetchto.com,Multi-carrier shipping solutions for e-tailers,Unfunded,,Asia & the Pacific,India,Fetchto,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://fieldrz.com,Web-based delivery management solution for on-demand delivery providers,Unfunded,,Asia & the Pacific,India,Fieldrz,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://fleetbip.com,Offers end-to-end solutions for maintaining fleets,Unfunded,,Asia & the Pacific,India,Fleetbip,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://fleett.in,Provides cloud-based software solutions for ship management,Unfunded,,Asia & the Pacific,India,Fleett,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://freightik.com,End-to-end ERP solution for the logistics industry,Unfunded,,Asia & the Pacific,India,Freightik,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://fresadocs.com,Cloud-based document management system for the logistics industry,Unfunded,,Asia & the Pacific,India,Fresa Docs,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://getol.in,Cloud-based backend management solutions for multichannel retailers,Unfunded,,Asia & the Pacific,India,Getol,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://gotrackapp.com,Software solution for field service and delivery management,Unfunded,,Asia & the Pacific,India,GoTrack,Yes
Data & AI,Trade Digitization and Analytics,2013,Emerging,https://graydrop.com,Cloud based delivery automation solutions for enterprises,Unfunded,,Asia & the Pacific,India,GrayDrop,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://hannylogistics.com,Software solutions for shipping and fulfilment for e-tailers,Unfunded,,Asia & the Pacific,India,Hanny Logistics,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://inndata.in,BI solution in the retail vertical,Unfunded,,Asia & the Pacific,India,innData,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://instarouter.com,Provider of cloud and AI-based last-mile delivery management software,Unfunded,,Asia & the Pacific,India,Instarouter,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://inventblue.com,Software solutions for logistics,Unfunded,,Asia & the Pacific,India,Inventblue,Yes
Data & AI,Trade Digitization and Analytics,2010,Existing,https://kalelogistics.com,Software solutions for management of logistics and airport businesses,Unfunded,,Asia & the Pacific,India,Kale Logistics,Yes
Data & AI,Trade Digitization and Analytics,2010,Emerging,https://liveimpex.in,Online platform for customs clearing,Unfunded,,Asia & the Pacific,India,Live Impex,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://lotracking.com,SaaS-based delivery management solutions,Unfunded,,Asia & the Pacific,India,LO Tracking,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://logbids.com,Software solution for managing and automating logistics processes,Unfunded,,Asia & the Pacific,India,LogBids,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://logiangle.com,Delivery and workforce management solution,Unfunded,,Asia & the Pacific,India,LogiAngle,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://logisticsnow.in,Fleet management solutions for logistics,Unfunded,,Asia & the Pacific,India,Logisticsnow,Yes
Data & AI,Trade Digitization and Analytics,2012,Emerging,https://logixgrid.com,Cloud-based software solution for end-to-end logistics management,Unfunded,,Asia & the Pacific,India,LogixGrid,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://lozics.in,Transportation and logistics ERP software,Unfunded,,Asia & the Pacific,India,Lozics,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://marinersapp.com,Provides mobile application for seafarers and shipping industry,Unfunded,,Asia & the Pacific,India,MarinersApp,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://mylogisticz.com,IoT based solution for supply chain management,Unfunded,,Asia & the Pacific,India,myLOGISTICZ,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://naanal.in,Provider of cloud and AI-enabled fulfillment solutions,Unfunded,,Asia & the Pacific,India,Naanal,Yes
Data & AI,Trade Digitization and Analytics,2019,Emerging,https://logistic-software.com,Cloud-based ERP software provider for the logistics industry,Unfunded,,Asia & the Pacific,India,NHANS Logistics,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://nsaas.in,App-based fleet management solution,Unfunded,,Asia & the Pacific,India,NSaaS,Yes
Data & AI,Trade Digitization and Analytics,2006,Distant,https://orionmarineconcepts.com,Software providers for nautical industry,Unfunded,,Asia & the Pacific,India,Orion Marine Concepts,Yes
Data & AI,Trade Digitization and Analytics,2012,Emerging,https://palmswms.in,Technology solutions for logistics,Unfunded,,Asia & the Pacific,India,Palms,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://pigeonship.in,Provider of AI-based e-commerce shipping solutions,Unfunded,,Asia & the Pacific,India,Pigeonship,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://portkid.com,Upcoming logistics startup,Unfunded,,Asia & the Pacific,India,Portkid,Yes
Data & AI,Trade Digitization and Analytics,2012,Emerging,https://ragtechnologies.com,ERP software provider for shipment management,Unfunded,,Asia & the Pacific,India,Rag Technologies,Yes
Data & AI,Trade Digitization and Analytics,2012,Emerging,https://rplusanalytics.com,Data analytics solutions and products,Unfunded,,Asia & the Pacific,India,Rplus Analytics,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://salzpoint.com,Supply chain management solutions for FMCG industry,Unfunded,,Asia & the Pacific,India,SalzPoint,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://shipmart.in,Provides cloud-based open platform connecting the buyers and sellers of maritime-related accessories,Unfunded,,Asia & the Pacific,India,Shipmart Tech,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://shipway.in,Courier Tracking and Shipment status Notifications,Unfunded,,Asia & the Pacific,India,Shipway,Yes
Data & AI,Trade Digitization and Analytics,2012,Emerging,https://sawlogistics.com,Online aggregator of courier services,Unfunded,,Asia & the Pacific,India,Silver Arrow Logistics Solutions,Yes
Data & AI,Trade Digitization and Analytics,2018,Emerging,https://smartshiphub.com,Digital solutions for management of maritime industry,Funded,,Asia & the Pacific,India,Smart Ship,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://sumpaplogistics.com,Provider of tech-enabled 4PL services,Unfunded,,Asia & the Pacific,India,Sumpap Logistics,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://synapptra.com,Smart and automated lighting control systems,Funded,,Asia & the Pacific,India,Synapptra,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://tfleet.in,Cloud-based fleet management solution,Unfunded,,Asia & the Pacific,India,T-Fleet,Yes
Data & AI,Trade Digitization and Analytics,2011,Emerging,https://tactoaman.com,Provider of tech-enabled 3PL logistics services,Unfunded,,Asia & the Pacific,India,Tacto Aman,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://telebeacon.com,Wireless indoor location and positioning solution,Unfunded,,Asia & the Pacific,India,Telebeacon,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://terradrone.in,Manufacturer of image sensors for topographical survey and inspection,Unfunded,,Asia & the Pacific,India,Terra Drone India,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://trailsscs.com,Tech-enabled solution provider for supply chain management,Unfunded,,Asia & the Pacific,India,Trails,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://trapigo.co.in,Online last mile delivery platform for businesses,Unfunded,,Asia & the Pacific,India,Trapigo,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://vdezi.com,Cloud-based software tool to create online stores for cross-border selling,Unfunded,,Asia & the Pacific,India,Vdezi,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://vroomrides.com,On-demand parcel delivery services,Unfunded,,Asia & the Pacific,India,Vroom Rides,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://waybill.work,Provides shipping solutions,Unfunded,,Asia & the Pacific,India,Waybill,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://we1.tech,"Provider of cloud and AI-based logistics, transport, warehouse and distribution management software",Unfunded,,Asia & the Pacific,India,We1.Tech,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://xportmine.com,Upcoming online platform for global shipment and customs data,Unfunded,,Asia & the Pacific,India,Xportmine,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://yaali.io,Order & inventory management software for omni-channel retailers,Unfunded,,Asia & the Pacific,India,Yaali,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://yantraksh.com,AI-enabled logistics management solutions,Unfunded,,Asia & the Pacific,India,Yantraksh,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://zoyride.com,GPS tracking solution for fleet management & employee/school transportation,Unfunded,,Asia & the Pacific,India,Zoyride,Yes
Data & AI,Fleet Utilization,2018,Existing,https://ritase.com,Online marketplace for freight transportation services,Series A,12900000,Asia & the Pacific,Indonesia,Ritase.com,Yes
Data & AI,Fleet Utilization,2018,Existing,https://kargo.tech,Online marketplace for freight transportation services,Seed,7600000,Asia & the Pacific,Indonesia,Kargo,Yes
Data & AI,Fleet Utilization,2015,Emerging,https://cargoboox.com,ERP tool for logistics industry,Unfunded,,Asia & the Pacific,Indonesia,Cargoboox,Yes
Data & AI,Fleet Utilization,2018,Distant,https://transflynd.com,Provider of a transport management software,Unfunded,,Asia & the Pacific,Indonesia,Flynd,Yes
Data & AI,Freight Orchestration,2014,Emerging,https://logisticsindonesia.com,Online marketplace of freight forwarders,Unfunded,,Asia & the Pacific,Indonesia,LogisticsIndonesia,Yes
Data & AI,Port Orchestration,2012,Emerging,https://ilcs.co.id,Software solutions for the logistics industry,Unfunded,,Asia & the Pacific,Indonesia,Integrasi Logistk Cipta Solusi,Yes
Data & AI,Trade Digitization and Analytics,2019,Distant,https://syalog.com,Supply chain management platform,Unfunded,,Asia & the Pacific,Indonesia,Syalog,Yes
Data & AI,Voyage Optimization and Navigation,2012,Emerging,https://focustelesindo.com,Provider of navigation systems,Unfunded,,Asia & the Pacific,Indonesia,Focus Telesindo,Yes
Data & AI,Trade Digitization and Analytics,2007,Emerging,https://alphawireless.com,Wireless antennas provider,Series A,,Europe,Ireland,Alpha Wireless,Yes
Data & AI,Trade Digitization and Analytics,2011,Existing,https://navitassoftware.com,Provides solutions for end-to-end logistics,Unfunded,,Europe,Ireland,Navitas Software,Yes
Data & AI,Trade Digitization and Analytics,2015,Existing,https://getfabric.com,AI-based micro-fulfillment solutions provider,Series B,136000000,MENA,Israel,Fabric,Yes
Data & AI,Trade Digitization and Analytics,2013,Existing,https://bringg.com,Provider of cloud and AI-based delivery management software,Series D,84500000,MENA,Israel,Bringg,Yes
Data & AI,Voyage Optimization and Navigation,2010,Existing,https://wnwd.com,Big data analytical algorithms and deep shipping expertise to aggregate and analyze global maritime data,Series C,38900000,MENA,Israel,Windward,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://kwik.me,"Open end-to-end IoT platform connecting retailers, brands and delivery providers",Seed,3000000,MENA,Israel,Kwik,Yes
Data & AI,Fleet Utilization,2018,Emerging,https://orca-ai.io,AI-enabled navigation solution for the maritime industry,Funded,2600000,MENA,Israel,Orca AI,Yes
Data & AI,Freight Orchestration,2017,Emerging,https://ladingo.com,Online platform for e-tailers to book ocean shipping services,Seed,1000000,MENA,Israel,Ladingo,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://bringoz.com,Provider of SaaS-based delivery management software,Seed,1000000,MENA,Israel,Bringoz,Yes
Data & AI,Fleet Utilization,2009,Emerging,https://applicat.com,Field service solutions suite,Unfunded,,MENA,Israel,Applicat,Yes
Data & AI,Fleet Utilization,2015,Emerging,https://makemydayapp.com,Location-based app to determine optimal route for multiple errands,Funded,,MENA,Israel,Make My Day,Yes
Data & AI,Fleet Utilization,2009,Emerging,https://myrouteonline.com,SaaS-based online route planning software,Unfunded,,MENA,Israel,MyRouteOnline,Yes
Data & AI,Fleet Utilization,2017,Emerging,https://optiways.io,AI-enabled route optimization solution,Funded,,MENA,Israel,OptiWays,Yes
Data & AI,Fleet Utilization,2016,Existing,https://tracktimize.com,Mobile-based solution for fleet management,Unfunded,,MENA,Israel,Tracktimize,Yes
Data & AI,Fleet Utilization,2015,Emerging,https://traxi.co.il,SaaS-based transport management solutions,Unfunded,,MENA,Israel,Traxi,Yes
Data & AI,Fleet Utilization,2019,Distant,https://vilog.io,"Provider of cloud, IoT and AI-enabled fleet tracking systems",Unfunded,,MENA,Israel,ViLOG,Yes
Data & AI,Fleet Utilization,2016,Emerging,https://way2go.co.il,SaaS based route optimization software,Unfunded,,MENA,Israel,Way2go,Yes
Data & AI,Freight Orchestration,2016,Emerging,https://shareshipper.com,Marketplace for containers,Unfunded,,MENA,Israel,Shareshipper,Yes
Data & AI,Freight Orchestration,2018,Distant,https://shippingquestghana.com,Online marketplace connecting shippers and carriers,Unfunded,,MENA,Israel,Shipping Quest,Yes
Data & AI,Port Orchestration,2017,Emerging,https://thedockinnovation.com,Start up accelerator focused on maritime technology based startups,Unfunded,,MENA,Israel,theDOCK Innovation Hub,Yes
Data & AI,Trade Digitization and Analytics,2018,Emerging,https://aidock.net,AI-enabled trade documentation solutions,Funded,,MENA,Israel,AiDock,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://alltypes.ai,Provider of a cloud and AI-based customs clearance automation system,Unfunded,,MENA,Israel,Alltypes.ai,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://boxsizeid.com,App-based dimensioning solution for parcels,Unfunded,,MENA,Israel,BoxSizeID,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://casesense.net,AI-powered parcel delivery optimization and cost-reduction technology,Seed,,MENA,Israel,Casesense Technologies,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://delivapp.com,Delivery management solutions,Unfunded,,MENA,Israel,DelivApp,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://package.ai,AI powered software solution for delivery management and support,Seed,,MENA,Israel,Package,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://pickapier.com,Provides booking solutions to boats and yachts for marina space,Funded,,MENA,Israel,Pick-a-Pier,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://pickpackage.com,AI-enabled delivery management solution for last mile operations,Unfunded,,MENA,Israel,PickPack,Yes
Data & AI,Trade Digitization and Analytics,2010,Emerging,https://stargo.co,AI-based online platform for booking freight forwarding services,Funded,,MENA,Israel,Stargo,Yes
Data & AI,Trade Digitization and Analytics,2014,Distant,https://wavebl.com,Decentralized electronic bill of lading using the blockchain technology,Seed,,MENA,Israel,Wave,Yes
Data & AI,Trade Digitization and Analytics,2016,Emerging,https://yaballe.com,Online platform providing automation solutions for dropshipping,Unfunded,,MENA,Israel,Yaballe,Yes
Data & AI,Fleet Utilization,2001,Existing,https://espritec.it,Logistics and transport management software solutions,Unfunded,,Europe,Italy,Espritec,Yes
Data & AI,Voyage Optimization and Navigation,2017,Distant,smartnautilos.com,Voyage optimization solution based on advanced mathematical simulation models of ship hydrodynamics and fuel consumption,Unfunded,,Europe,Italy,SmartNautilos,Yes
Data & AI,Freight Orchestration,2016,Distant,https://shippio.io,Provider of tech-enabled multi-modal freight forwarding services,Series A,9698620,Asia & the Pacific,Japan,Shippio,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://zenport.io,Cloud based software solution for shippers and forwarders,Seed,46108,Asia & the Pacific,Japan,Zenport,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://optimind.tech,Tech-enabled route optimization provider for last-mile delivery,Series A,,Asia & the Pacific,Japan,Optimind,Yes
Data & AI,Voyage Optimization and Navigation,2018,Distant,https://marinecompass.jp,Provider of marine navigation systems,Unfunded,,Asia & the Pacific,Japan,Marine Compass,Yes
Data & AI,Trade Digitization and Analytics,2014,Emerging,https://logistaas.com,Software solution for freight forwarders,Unfunded,,MENA,Jordan,LogistaaS,Yes
Data & AI,Freight Orchestration,2015,Emerging,https://quote-it.net,Online marketplace for freight booking,Unfunded,,Asia & the Pacific,Kazakhstan,Quote-it,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://reactdelivery.kz,Delivery management software for last mile delivery compaines,Unfunded,,Asia & the Pacific,Kazakhstan,React Delivery,Yes
Data & AI,Trade Digitization and Analytics,2015,Emerging,https://relog.kz,Delivery management SaaS for logistics businesses,Unfunded,,Asia & the Pacific,Kazakhstan,Relog,Yes
Data & AI,Trade Digitization and Analytics,2006,Existing,https://otopulse.com,"Provider of fleet, inventory and warehouse management systems",Unfunded,,MENA,Kuwait,Otopulse,Yes
Data & AI,Trade Digitization and Analytics,2013,Emerging,https://eqlim.com,Risk intelligence data for global supply chains,Unfunded,,MENA,Lebanon,Eqlim,Yes
Data & AI,Fleet Utilization,2017,Emerging,https://navijazz.com,SDK and applications for navigation,Unfunded,,Europe,Lithuania,Navijazz,Yes
Data & AI,Freight Orchestration,2014,Emerging,https://20-40.com,App-based marketplace for shipping containers,Unfunded,,Europe,Lithuania,20-40,Yes
Data & AI,Freight Orchestration,2000,Existing,https://cargo.lt,Freight exchange platform,Unfunded,,Europe,Lithuania,Cargo,Yes
Data & AI,Freight Orchestration,2010,Existing,https://cargoauction.eu,Online loadboard for freight transportation,Unfunded,,Europe,Lithuania,CargoAuction,Yes
Data & AI,Trade Digitization and Analytics,2013,Emerging,https://katsana.com,Fleet management and GPS Tracking Service Provider,Funded,905000,Asia & the Pacific,Malaysia,Katsana,Yes
Data & AI,Fleet Utilization,2016,Existing,https://prodigynet.com.my,IT Solutions for freight and haulage industry,Unfunded,,Asia & the Pacific,Malaysia,Prodigynet Solutions,Yes
Data & AI,Fleet Utilization,2018,Distant,https://sailcompass.com,"Provider of software management platform for vessel management, estimation and reporting",Unfunded,,Asia & the Pacific,Malaysia,SailCompass,Yes
Data & AI,Fleet Utilization,2016,Existing,https://symple.my,Field force management software - Road,Unfunded,,Asia & the Pacific,Malaysia,Symple,Yes
Data & AI,Freight Orchestration,2018,Distant,https://accelefreight.com,Tech-enabled freight forwarder,Unfunded,,Asia & the Pacific,Malaysia,AcceleFreight,Yes
Data & AI,Trade Digitization and Analytics,2018,Distant,https://delyva.com,Multi-carrier shipping solution,Unfunded,,Asia & the Pacific,Malaysia,Delyva,Yes
Data & AI,Trade Digitization and Analytics,2003,Existing,https://maslog.com.my,SaaS provider for logistics solutions,Seed,,Asia & the Pacific,Malaysia,Maslog IT Solutions,Yes
Data & AI,Trade Digitization and Analytics,2017,Emerging,https://traamo.com,Cloud-based field force management software for multiple industries,Unfunded,,Asia & the Pacific,Malaysia,Traamo,Yes
Data & AI,Voyage Optimization and Navigation,2009,Emerging,https://maritimecomms.com.my,Provides cloud based tracking systems,Unfunded,,Asia & the Pacific,Malaysia,Maritime Communications,Yes
Data & AI,Freight Orchestration,2018,Distant,https://nowports.com,AI-based tech-enabled freight forwarder,Seed,5450000,Latin America and the Caribbean,Mexico,Nowports,Yes
Data & AI,Fleet Utilization,2016,Emerging,https://sgains.com,Routing and fleet management,Unfunded,,Latin America and the Caribbean,Mexico,G-Logistica,Yes
Data & AI,Freight Orchestration,2018,Distant,https://keyforwarding.com,Online marketplace for booking freight forwarders,Unfunded,,Latin America and the Caribbean,Mexico,Key Logistics,Yes
